
0.0,	0.00,0.00,0.00
0.1,	0.00,0.00,0.00
0.2,	0.00,0.00,0.00
0.3,	0.00,0.00,0.00
0.4,	0.00,0.00,0.00
0.5,	0.00,0.00,0.00
0.6,	0.00,0.00,0.00
0.7,	0.00,0.00,10.20
0.8,	0.00,0.00,10.20
0.9,	0.00,0.00,10.20
1.0,	0.00,0.00,10.20
1.1,	0.00,0.00,10.20
1.2,	0.00,0.00,10.20
1.3,	0.00,0.00,10.20
1.4,	0.00,0.00,10.20
1.5,	0.00,0.00,10.20
1.6,	0.00,0.00,10.20
1.7,	0.00,0.00,10.20
1.8,	0.00,0.00,10.20
1.9,	0.00,0.00,10.20
2.0,	0.00,0.00,10.20
2.1,	0.00,0.00,10.24
2.2,	0.00,0.00,10.28
2.3,	0.00,0.00,10.32
2.4,	0.00,0.00,10.36
2.5,	0.00,0.00,10.40
2.6,	0.00,0.00,10.44
2.7,	0.00,0.00,10.48
2.8,	0.00,0.00,10.52
2.9,	0.10,0.00,10.56
3.0,	0.20,0.00,10.60
3.1,	0.30,0.00,10.64
3.2,	0.40,0.00,10.68
3.3,	0.50,0.00,10.72
3.4,	0.60,0.00,10.76
3.5,	0.70,0.00,10.84
3.6,	0.80,0.00,10.92
3.7,	0.90,0.00,11.00
3.8,	1.00,0.00,11.08
3.9,	1.10,0.00,11.16
4.0,	1.20,0.00,11.24
4.1,	1.30,0.00,11.32
4.2,	1.50,0.00,11.40
4.3,	1.70,0.00,11.48
4.4,	1.90,0.00,11.56
4.5,	2.10,0.00,11.64
4.6,	2.30,0.00,11.72
4.7,	2.50,0.00,11.80
4.8,	2.70,0.00,11.88
4.9,	2.90,0.00,11.96
5.0,	3.10,0.00,12.04
5.1,	3.30,0.00,12.12
5.2,	3.50,0.00,12.20
5.3,	3.70,0.00,12.28
5.4,	3.90,0.00,12.36
5.5,	4.10,0.00,12.44
5.6,	4.30,0.00,12.52
5.7,	4.50,0.00,12.60
5.8,	4.70,0.10,12.68
5.9,	4.90,0.20,12.76
6.0,	5.10,0.30,12.84
6.1,	5.30,0.40,12.92
6.2,	5.50,0.50,13.00
6.3,	5.70,0.60,13.08
6.4,	5.90,0.70,13.16
6.5,	6.10,0.80,13.24
6.6,	6.30,0.90,13.32
6.7,	6.50,1.00,13.40
6.8,	6.70,1.10,13.48
6.9,	6.90,1.20,13.56
7.0,	7.10,1.30,13.64
7.1,	7.30,1.40,13.72
7.2,	7.50,1.50,13.80
7.3,	7.70,1.60,13.88
7.4,	7.90,1.70,13.96
7.5,	8.10,1.80,14.04
7.6,	8.30,1.90,14.12
7.7,	8.50,2.00,14.20
7.8,	8.70,2.10,14.28
7.9,	8.90,2.20,14.36
8.0,	9.10,2.30,14.44
8.1,	9.30,2.40,14.52
8.2,	9.50,2.50,14.60
8.3,	9.70,2.60,14.68
8.4,	9.90,2.70,14.76
8.5,	10.10,2.80,14.84
8.6,	10.30,2.90,14.92
8.7,	10.50,3.00,15.00
8.8,	10.70,3.10,15.08
8.9,	10.90,3.20,15.16
9.0,	11.10,3.30,15.24
9.1,	11.30,3.40,15.32
9.2,	11.50,3.50,15.40
9.3,	11.70,3.60,15.48
9.4,	11.90,3.70,15.56
9.5,	12.10,3.80,15.64
9.6,	12.30,3.90,15.72
