
0.0,	0.00,0.00,10.20.
0.1,	-0.50,0.00,10.20.
0.2,	-1.00,0.00,10.20.
0.3,	-1.50,0.00,10.20.
0.4,	-2.00,0.00,10.20.
0.5,	-2.50,0.00,10.20.
0.6,	-3.00,0.00,10.20.
0.7,	-3.50,0.00,10.20.
0.8,	-4.00,0.00,10.20.
0.9,	-4.50,0.00,10.20.
1.0,	-5.00,0.00,10.20.
1.1,	-5.50,0.00,10.20.
1.2,	-6.00,0.00,10.20.
1.3,	-6.50,0.00,10.20.
1.4,	-7.00,0.00,10.20.
1.5,	-7.50,0.00,10.20.
1.6,	-8.00,0.00,10.20.
1.7,	-8.50,0.00,10.20.
1.8,	-9.00,0.00,10.20.
1.9,	-9.50,0.00,10.20.
2.0,	-9.50,0.50,10.20.
2.1,	-9.50,1.00,10.20.
2.2,	-9.50,1.50,10.20.
2.3,	-9.50,2.00,10.20.
2.4,	-9.50,2.50,10.20.
2.5,	-9.50,3.00,10.20.
2.6,	-9.50,3.50,10.20.
2.7,	-9.50,4.00,10.20.
2.8,	-9.50,4.50,10.20.
2.9,	-9.50,5.00,10.20.
3.0,	-9.50,5.50,10.20.
3.1,	-9.00,5.50,10.20.
3.2,	-8.50,5.50,10.20.
3.3,	-8.00,5.50,10.20.
3.4,	-7.50,5.50,10.20.
3.5,	-7.00,5.50,10.20.
3.6,	-6.50,5.50,10.20.
3.7,	-6.00,5.50,10.20.
3.8,	-5.50,5.50,10.20.
3.9,	-5.00,5.50,10.20.
4.0,	-4.50,5.50,10.20.
4.1,	-4.00,5.50,10.20.
4.2,	-3.50,5.50,10.20.
4.3,	-3.00,5.50,10.20.
4.4,	-2.50,5.50,10.20.
4.5,	-2.00,5.50,10.20.
4.6,	-1.50,5.50,10.20.
4.7,	-1.00,5.50,10.20.
4.8,	-0.50,5.50,10.20.
4.9,	-0.00,5.50,10.20.
5.0,	0.50,5.50,10.20.
5.1,	0.50,6.00,10.20.
5.2,	0.50,6.50,10.20.
5.3,	0.50,7.00,10.20.
5.4,	0.50,7.50,10.20.
5.5,	0.50,8.00,10.20.
5.6,	0.50,8.50,10.20.
5.7,	0.50,9.00,10.20.
5.8,	0.50,9.50,10.20.
5.9,	0.50,10.00,10.20.
6.0,	0.50,10.50,10.20.
6.1,	0.50,10.00,10.20.
6.2,	0.50,9.50,10.20.
6.3,	0.50,9.00,10.20.
6.4,	0.50,8.50,10.20.
6.5,	0.50,8.00,10.20.
